election,precinct,registered,cast,democrat,republican
"March 3rd, 2020 Joint Primary",4030,413,57,57,0
"March 3rd, 2020 Joint Primary",4031,1914,326,269,57
"March 3rd, 2020 Joint Primary",4032,1727,389,295,94
"March 3rd, 2020 Joint Primary",4033,3212,699,537,162
"March 3rd, 2020 Joint Primary",4034,1740,379,276,103
"March 3rd, 2020 Joint Primary",4035,29,12,7,5
"March 3rd, 2020 Joint Primary",4036,2616,637,564,73
"March 3rd, 2020 Joint Primary",4037,1882,265,239,26
"March 3rd, 2020 Joint Primary",4038,2870,935,722,213
"March 3rd, 2020 Joint Primary",4039,1411,236,226,10
"March 3rd, 2020 Joint Primary",4040,1209,274,246,28
"March 3rd, 2020 Joint Primary",4041,2028,411,381,30
"March 3rd, 2020 Joint Primary",4042,162,36,30,6
"March 3rd, 2020 Joint Primary",4043,2989,527,393,134
"March 3rd, 2020 Joint Primary",4044,1386,266,189,77
"March 3rd, 2020 Joint Primary",4045,2454,551,404,147
"March 3rd, 2020 Joint Primary",4046,2542,779,466,313
"March 3rd, 2020 Joint Primary",4047,2830,505,373,132
"March 3rd, 2020 Joint Primary",4048,1915,381,322,59
"March 3rd, 2020 Joint Primary",4049,2504,393,294,99
"March 3rd, 2020 Joint Primary",4050,1618,425,250,175
"March 3rd, 2020 Joint Primary",4051,1778,522,291,231
"March 3rd, 2020 Joint Primary",4052,2206,581,338,243
"March 3rd, 2020 Joint Primary",4053,2116,397,282,115
"March 3rd, 2020 Joint Primary",4054,3650,718,478,240
"March 3rd, 2020 Joint Primary",4055,1498,300,179,121
"March 3rd, 2020 Joint Primary",4056,3224,595,356,239
"March 3rd, 2020 Joint Primary",4057,1677,532,277,255
"March 3rd, 2020 Joint Primary",4058,2023,407,187,220
"March 3rd, 2020 Joint Primary",4059,2332,464,313,151
"March 3rd, 2020 Joint Primary",4060,2080,377,264,113
"March 3rd, 2020 Joint Primary",4061,2634,380,279,101
"March 3rd, 2020 Joint Primary",4062,693,137,97,40
"March 3rd, 2020 Joint Primary",4063,1103,142,106,36
"March 3rd, 2020 Joint Primary",4064,2387,507,302,205
"March 3rd, 2020 Joint Primary",4065,4313,622,496,126
"March 3rd, 2020 Joint Primary",4066,3307,625,470,155
"March 3rd, 2020 Joint Primary",4067,1978,251,166,85
"March 3rd, 2020 Joint Primary",4068,537,117,90,27
"March 3rd, 2020 Joint Primary",4069,953,302,146,156
"March 3rd, 2020 Joint Primary",4070,3059,734,582,152
"March 3rd, 2020 Joint Primary",4071,1490,397,106,291
"March 3rd, 2020 Joint Primary",4072,2947,680,268,412
"March 3rd, 2020 Joint Primary",4073,1709,320,190,130
"March 3rd, 2020 Joint Primary",4074,2239,356,206,150
"March 3rd, 2020 Joint Primary",4075,655,143,126,17
"March 3rd, 2020 Joint Primary",4076,3358,462,343,119
"March 3rd, 2020 Joint Primary",4077,3170,606,427,179
"March 3rd, 2020 Joint Primary",4078,1325,287,105,182
"March 3rd, 2020 Joint Primary",4079,1613,309,170,139
"March 3rd, 2020 Joint Primary",4080,2302,377,249,128
"March 3rd, 2020 Joint Primary",4081,751,58,29,29
"March 3rd, 2020 Joint Primary",4082,1949,254,221,33
"March 3rd, 2020 Joint Primary",4083,807,121,86,35
"March 3rd, 2020 Joint Primary",4084,551,99,84,15
"March 3rd, 2020 Joint Primary",4085,59,9,3,6
"March 3rd, 2020 Joint Primary",4086,528,87,42,45
"March 3rd, 2020 Joint Primary",4087,1955,557,414,143
"March 3rd, 2020 Joint Primary",4088,3781,727,559,168
"March 3rd, 2020 Joint Primary",4089,3174,620,438,182
"March 3rd, 2020 Joint Primary",4090,2235,381,241,140
"March 3rd, 2020 Joint Primary",4091,956,250,193,57
"March 3rd, 2020 Joint Primary",4092,1738,416,237,179
"March 3rd, 2020 Joint Primary",4093,2651,494,328,166
"March 3rd, 2020 Joint Primary",4094,1880,455,271,184
"March 3rd, 2020 Joint Primary",4095,1669,407,254,153
"March 3rd, 2020 Joint Primary",4096,2702,443,313,130
"March 3rd, 2020 Joint Primary",4097,2035,299,193,106
"March 3rd, 2020 Joint Primary",4098,1713,286,180,106
"March 3rd, 2020 Joint Primary",4099,1281,229,148,81
"March 3rd, 2020 Joint Primary",4100,923,184,139,45
"March 3rd, 2020 Joint Primary",4101,1130,197,104,93
"March 3rd, 2020 Joint Primary",4102,933,103,80,23
"March 3rd, 2020 Joint Primary",4103,0,0,0,0
"March 3rd, 2020 Joint Primary",4104,2043,333,211,122
"March 3rd, 2020 Joint Primary",4105,1937,407,225,182
"March 3rd, 2020 Joint Primary",4106,607,71,54,17
"March 3rd, 2020 Joint Primary",4107,1172,307,196,111
"March 3rd, 2020 Joint Primary",4108,3611,692,442,250
"March 3rd, 2020 Joint Primary",4109,1116,144,104,40
"March 3rd, 2020 Joint Primary",4110,1134,354,316,38
"March 3rd, 2020 Joint Primary",4111,439,31,29,2
"March 3rd, 2020 Joint Primary",4112,769,318,177,141
"March 3rd, 2020 Joint Primary",4113,881,176,148,28
"March 3rd, 2020 Joint Primary",4114,80,4,4,0
